web-scraper-order,web-scraper-start-url,catli,catli-href,subcatli,subcatli-href,sub1,sub1-href,sub2,sub2-href,sub3,sub3-href,sub4,sub4-href,sub5,sub5-href,sub6,sub6-href,sub7,sub7-href,sub8,sub8-href
1595345490-1661,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,,,,,Corpo,https://www.notino.it/prodotti-per-uomo/?f=1-1-23235-23261,,,,
1595345498-1997,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,Profumi per bambini,https://www.notino.it/profumi-per-bambini/,,,,,,,,,,,,,,,,
1595345490-1609,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,Spazzole pulizia viso,https://www.notino.it/spazzole-pulizia-viso/,,,,,,,,,,
1595345490-1558,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,Profumi fruttati,https://www.notino.it/profumi-fruttati/,,,,,,,,,,,,,,,,
1595345503-2326,https://www.notino.it,Dermocosmesi,https://www.notino.it/dermocosmesi/,,,Arricciacapelli,https://www.notino.it/arricciacapelli/,,,,,,,,,,,,,,
1595345508-2687,https://www.notino.it,Profumi,https://www.notino.it/profumi/,,,,,,,,,Cicatrizzanti,https://www.notino.it/rigenerazione-della-pelle/,,,,,,,,
1595345505-2497,https://www.notino.it,Capelli,https://www.notino.it/prodotti-per-capelli/,,,,,Macchie pigmentarie,https://www.notino.it/macchie-pigmentarie/,,,,,,,,,,,,
1595345493-1759,https://www.notino.it,Uomo,https://www.notino.it/prodotti-per-uomo/,,,,,,,Creme abbronzanti viso,https://www.notino.it/crema-abbronzante-viso/,,,,,,,,,,
1595345498-2121,https://www.notino.it,Corpo,https://www.notino.it/prodotti-per-il-corpo/,,,,,,,,,,,,,,,Candele,https://www.notino.it/candele-profumate/,,
1595345490-1569,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,Accessori,https://www.notino.it/accessori-per-capelli/,,,,,,,,,,,,,,
1595345490-1646,https://www.notino.it,Profumi per ambienti,https://www.notino.it/profumi-per-ambienti/,,,,,,,,,,,Sopracciglia,https://www.notino.it/make-up/?f=1-1-2-3644-41832,,,,,,
1595345495-1987,https://www.notino.it,Make-up,https://www.notino.it/make-up/,,,,,,,,,,,,,,,,,SPF 6–10,https://www.notino.it/creme-solari/?f=1-1-2-52434-3905
