web-scraper-order,web-scraper-start-url,brands,brands-href
1595276171-556,https://market.erniani.com/it/marche-cosmetici/,Mr. Proper,https://market.erniani.com/it/mr-proper/
1595276171-557,https://market.erniani.com/it/marche-cosmetici/,MUA Makeup Academy,https://market.erniani.com/it/mua-makeup-academy/
1595276171-558,https://market.erniani.com/it/marche-cosmetici/,Mugler,https://market.erniani.com/it/mugler/
1595276171-559,https://market.erniani.com/it/marche-cosmetici/,Mustang,https://market.erniani.com/it/mustang/
1595276171-560,https://market.erniani.com/it/marche-cosmetici/,Mustela,https://market.erniani.com/it/mustela/
1595276171-561,https://market.erniani.com/it/marche-cosmetici/,My Clarins,https://market.erniani.com/it/my-clarins/
1595276171-562,https://market.erniani.com/it/marche-cosmetici/,My Magic Mud,https://market.erniani.com/it/my-magic-mud/
1595276171-564,https://market.erniani.com/it/marche-cosmetici/,Myrurgia,https://market.erniani.com/it/myrurgia/
1595276171-563,https://market.erniani.com/it/marche-cosmetici/,My White Secret,https://market.erniani.com/it/my-white-secret/
1595276171-565,https://market.erniani.com/it/marche-cosmetici/,N.A.E.,https://market.erniani.com/it/nae/
1595276171-566,https://market.erniani.com/it/marche-cosmetici/,Naif,https://market.erniani.com/it/naif/
1595276171-568,https://market.erniani.com/it/marche-cosmetici/,Naomi Campbell,https://market.erniani.com/it/naomi-campbell/
1595276171-569,https://market.erniani.com/it/marche-cosmetici/,Narciso Rodriguez,https://market.erniani.com/it/narciso-rodriguez/
1595276171-570,https://market.erniani.com/it/marche-cosmetici/,Nasomatto,https://market.erniani.com/it/nasomatto/
1595276171-572,https://market.erniani.com/it/marche-cosmetici/,Naturalium,https://market.erniani.com/it/naturalium/
1595276171-571,https://market.erniani.com/it/marche-cosmetici/,Natura Siberica,https://market.erniani.com/it/natura-siberica/
1595276171-573,https://market.erniani.com/it/marche-cosmetici/,Nature Box,https://market.erniani.com/it/nature-box/
1595276171-574,https://market.erniani.com/it/marche-cosmetici/,Nautica,https://market.erniani.com/it/nautica/
1595276171-575,https://market.erniani.com/it/marche-cosmetici/,NeoStrata,https://market.erniani.com/it/neostrata/
1595276171-576,https://market.erniani.com/it/marche-cosmetici/,Nesti Dante,https://market.erniani.com/it/nesti-dante/
1595276171-577,https://market.erniani.com/it/marche-cosmetici/,Neutral,https://market.erniani.com/it/neutral/
1595276171-578,https://market.erniani.com/it/marche-cosmetici/,Neutrogena,https://market.erniani.com/it/neutrogena/
1595276171-579,https://market.erniani.com/it/marche-cosmetici/,Nicole Richie,https://market.erniani.com/it/nicole-richie/
1595276171-580,https://market.erniani.com/it/marche-cosmetici/,Nikos,https://market.erniani.com/it/nikos/
1595276171-581,https://market.erniani.com/it/marche-cosmetici/,Nioxin,https://market.erniani.com/it/nioxin/
1595276171-582,https://market.erniani.com/it/marche-cosmetici/,Nishane,https://market.erniani.com/it/nishane/
1595276171-583,https://market.erniani.com/it/marche-cosmetici/,Nivea,https://market.erniani.com/it/nivea/
1595276171-584,https://market.erniani.com/it/marche-cosmetici/,NKD SKN,https://market.erniani.com/it/nkd-skn/
1595276171-586,https://market.erniani.com/it/marche-cosmetici/,NOBEA,https://market.erniani.com/it/nobea/
1595276171-585,https://market.erniani.com/it/marche-cosmetici/,No Inhibition,https://market.erniani.com/it/no-inhibition/
1595276171-587,https://market.erniani.com/it/marche-cosmetici/,Notino,https://market.erniani.com/it/notino/
1595276171-588,https://market.erniani.com/it/marche-cosmetici/,Nuxe,https://market.erniani.com/it/nuxe/
1595276171-589,https://market.erniani.com/it/marche-cosmetici/,NYX Professional Makeup,https://market.erniani.com/it/nyx-professional-makeup/
1595276171-590,https://market.erniani.com/it/marche-cosmetici/,o.b.,https://market.erniani.com/it/ob/
1595276171-591,https://market.erniani.com/it/marche-cosmetici/,Odeon,https://market.erniani.com/it/odeon/
1595276171-592,https://market.erniani.com/it/marche-cosmetici/,O'Driu,https://market.erniani.com/it/odriu/
1595276171-593,https://market.erniani.com/it/marche-cosmetici/,Olaplex,https://market.erniani.com/it/olaplex/
1595276171-594,https://market.erniani.com/it/marche-cosmetici/,Old Spice,https://market.erniani.com/it/old-spice/
1595276171-595,https://market.erniani.com/it/marche-cosmetici/,Olivia Garden,https://market.erniani.com/it/olivia-garden/
1595276171-596,https://market.erniani.com/it/marche-cosmetici/,Omorovicza,https://market.erniani.com/it/omorovicza/
1595276171-597,https://market.erniani.com/it/marche-cosmetici/,Onclé,https://market.erniani.com/it/oncle/
1595276171-598,https://market.erniani.com/it/marche-cosmetici/,One Direction,https://market.erniani.com/it/one-direction/
1595276171-599,https://market.erniani.com/it/marche-cosmetici/,Onno,https://market.erniani.com/it/onno/
1595276171-600,https://market.erniani.com/it/marche-cosmetici/,Opalescence,https://market.erniani.com/it/opalescence/
1595276171-601,https://market.erniani.com/it/marche-cosmetici/,OPI,https://market.erniani.com/it/opi/
1595276171-602,https://market.erniani.com/it/marche-cosmetici/,Oral B,https://market.erniani.com/it/oral-b/
1595276171-603,https://market.erniani.com/it/marche-cosmetici/,Oranjito,https://market.erniani.com/it/oranjito/
1595276171-604,https://market.erniani.com/it/marche-cosmetici/,Organic Shop,https://market.erniani.com/it/organic-shop/
1595276171-605,https://market.erniani.com/it/marche-cosmetici/,Oriflame,https://market.erniani.com/it/oriflame/
1595276171-606,https://market.erniani.com/it/marche-cosmetici/,Original Penguin,https://market.erniani.com/it/original-penguin/
1595276171-607,https://market.erniani.com/it/marche-cosmetici/,Orlane,https://market.erniani.com/it/orlane/
1595276171-608,https://market.erniani.com/it/marche-cosmetici/,Orofluido,https://market.erniani.com/it/orofluido/
1595276171-609,https://market.erniani.com/it/marche-cosmetici/,Oscar de la Renta,https://market.erniani.com/it/oscar-de-la-renta/
1595276171-610,https://market.erniani.com/it/marche-cosmetici/,Otto Kern,https://market.erniani.com/it/otto-kern/
1595276171-611,https://market.erniani.com/it/marche-cosmetici/,Paco Rabanne,https://market.erniani.com/it/paco-rabanne/
1595276171-612,https://market.erniani.com/it/marche-cosmetici/,Paddywax,https://market.erniani.com/it/paddywax/
1595276171-613,https://market.erniani.com/it/marche-cosmetici/,Palmer’s,https://market.erniani.com/it/palmers/
1595276171-614,https://market.erniani.com/it/marche-cosmetici/,Palmolive,https://market.erniani.com/it/palmolive/
1595276171-615,https://market.erniani.com/it/marche-cosmetici/,Paloma,https://market.erniani.com/it/paloma/
1595276171-616,https://market.erniani.com/it/marche-cosmetici/,Paloma Picasso,https://market.erniani.com/it/paloma-picasso/
1595276171-617,https://market.erniani.com/it/marche-cosmetici/,Pampers,https://market.erniani.com/it/pampers/
